,100,500,1000,3000
dis,0.00800000000000001,0.252,2.99699999999999,37.821
adj,0,0.00600000000000001,0.0810000000000031,0.477999999999994
sum,0.092,57.468,NA,NA
hpe,0.129,0.161,0.295999999999999,1.967
hpb,0.01,0.036999999999999,0.194000000000003,5.871
